School,URL,Street,City,State,CMS
North Elementary School,http://www.northposey.k12.in.us/,63 W Fletchall Ave,Poseyville,IN,none
North Dearborn Elementary School,https://ses.sunmandearborn.k12.in.us/,27650 Sawmill Road,West Harrison,IN,none
North Putnam Sr High School,http://www.nputnam.k12.in.us/,8869 N CR 250 E,Roachdale,IN,none
North Elementary School,https://washington.kyschools.us/nws/,600 NE 6th St,Washington,IN,none
North White Middle School,http://www.nwhite.k12.in.us/,305 E Broadway St,Monon,IN,none
North White High School,http://www.nwhite.k12.in.us/,305 E Broadway,Monon,IN,none
Northview Middle School,https://cc.msdwt.k12.in.us/,8401 Westfield Blvd,Indianapolis,IN,none
Northview High School,http://www.edline.net/pages/NHS_Northview_High_School,3150 W SR 340,Brazil,IN,none
Old Corden Porter School,http://gcs.k12.in.us/,630 Meigs Ave,Jeffersonville,IN,none
Oaklawn Campus Program,https://oaklawn.org/,1411 Lincolnway West,Mishawaka,IN,none
Northrop High School,https://www.fwcs.k12.in.us/,7001 Coldwater Rd,Fort Wayne,IN,none
Northwood Elementary School,https://www.mooresvilleschools.org/schools/northwood,630 N Indiana St,Mooresville,IN,none
Northridge Middle School,https://www.mcsin-k12.org/nms/,56691 Northridge Dr,Middlebury,IN,none
Northwood Middle School,https://www.fortwayneschools.org/schools/school-pages.php?school=0129,1201 E Wash Ctr Rd,Fort Wayne,IN,none
O R Baker Elementary School,http://bes.rc.k12.in.us/,600 S Oak St,Winchester,IN,none
Northeast IN Spec Ed Coop,https://www.neispecialedcoop.com/#!,1607 E Dowling St,Kendallville,IN,none
Northfield Jr-Sr High School,http://nhs.msdwc.k12.in.us/,154 W 200 N,Wabash,IN,none
Northpoint Elementary School,https://maryfrank.phmschools.org/,50800 Cherry Rd,Granger,IN,none
Notre Dame Catholic School,https://notredameparish.net/,1000 Moore Rd,Michigan City,IN,none
Oakdale Elementary School,http://www.warrick.k12.in.us/,802 S 8th St,Boonville,IN,none
Oldenburg Academy,https://www.oldenburgacademy.org/,PO Box 200,Oldenburg,IN,none
Oaklandon Elementary School,https://oaklandon.ltschools.org/,6702 Oaklandon Rd,Indianapolis,IN,none
Ohio County Middle School,http://risingsun.k12.in.us/,436 S Mulberry St,Rising Sun,IN,none
Northridge High School,https://northridgeathletics.com/,56779 Northridge Dr,Middlebury,IN,none
Oaklawn Elementary School,http://www.tlschools.com/,402 E South St,Monticello,IN,none
Ohio County Elementary School,http://risingsun.k12.in.us/,436 S Mulberry St,Rising Sun,IN,none
Northridge Middle School,http://phes.nm.k12.in.us/,482 W 580 N,Crawfordsville,IN,none
Our Lady School,https://www.olghfw.com/,7215 Saint Joe Road,Fort Wayne,IN,none
Options Charter School - Carmel,https://optionsschools.org/,530 W Carmel Dr,Carmel,IN,none
