Name,Address,City,State
Dr. William Mennies Elementary School,361 EAST GRANT AVENUE,VINELAND,NJ
Dumont High School,101 NEW MILFORD AVE,DUMONT,NJ
Dunn Middle School,401 DAYTON STREET,TRENTON,NJ
Dutch Neck Elementary School,392 VILLAGE ROAD EAST,West Windsor,NJ
Dwight D Eisenhower Middle School,235 Grove Avenue,West Berlin,NJ
Dwight D. Eisenhower Middle School,344 CALVIN CT,WYCKOFF,NJ
Dwight Morrow High School/Academies@Englewood,274 KNICKERBOCKER RD,ENGLEWOOD,NJ
E. H. Slaybaugh Elementary School,11 SWIFT AVENUE,EGG HARBOR TOWNSHIP,NJ
E. Roy Bixby,25 FISCHER AVE,BOGOTA,NJ
Eagle Academy for Young Men of Newark,279 Chancellor Avenue,Newark,NJ
Early Childhood Development Center,1602 Pine Street,CAMDEN,NJ
Early Childhood School,5204 HUDSON AVE,WEST NEW YORK,NJ
Early Childhood School - Central,70 Montgomery Street,Newark,NJ
Early Childhood School - North,24 Crane Street,Newark,NJ
Early Childhood School - South,255 Chancellor Avenue,NEWARK,NJ
Early Childhood School - West,26 Speedway Avenue,Newark,NJ
East Amwell Township,43 WERTSVILLE RD,RINGOES,NJ
East Brook Elementary School,167 SIBBALD DR,PARK RIDGE,NJ
East Brook Middle School,190 SPRING VALLEY ROAD,PARAMUS,NJ
East Newark Public School,501  11 NORTH THIRD STREET,E NEWARK,NJ
East Orange Campus High School,344 PROSPECT STREET,EAST ORANGE,NJ
East Orange STEM Academy High School,129 RENSHAW AVENUE,EAST ORANGE,NJ
East Side High School,238 VAN BUREN ST,NEWARK,NJ
Eastampton Township Community School,1 STUDENT DRIVE,EASTAMPTON,NJ
Eastern Regional High School,1401 LAUREL OAK ROAD,VOORHEES,NJ
Ecole Toussaint Louverture,330 CENTRAL AVE,EAST ORANGE,NJ
Edgemont Elementary School,20 EDGEMONT RD,MONTCLAIR,NJ
Edison Middle School,75 WILLIAM ST,W ORANGE,NJ
Edith A. Bogert Elementary School,391 W  SADDLE RIVER RD,UPPER SADDLE RIVER,NJ
Edward H. Bryan,51 BROOKSIDE AVE,CRESSKILL,NJ
"Edward T. Bowser, Sr. School of Excellence",180 Lincoln Street,EAST ORANGE,NJ
Edward T. Hamilton,23 Northgate Drive,VOORHEES,NJ
Egg Harbor City Community School,730 Havana Avenue,EGG HARBOR CITY,NJ
Egg Harbor Township High School,24 HIGH SCHOOL DRIVE,EGG HARBOR TOWNSHIP,NJ
Eldridge Park School,55 LAWN PARK AVE,LAWRENCEVILLE,NJ
Eleanor Rush Intermediate School,1200 WYNWOOD DRIVE,CINNAMINSON,NJ
Eleanor Van Gelder,251 UNDERCLIFF AVE,EDGEWATER,NJ
Elizabeth F. Moore School,1361 Highway 77,SEABROOK,NJ
Elizabeth Haddon School,501 WEST REDMAN AVENUE,HADDONFIELD,NJ
Elliott Street Elementary School,721 Summer Avenue,NEWARK,NJ
Elwood Kindle Elementary School,211 Washington Avenue,Pitman,NJ
Emerson Jr Sr High,131 Main Street,Emerson,NJ
Emerson Middle School,318 - 18th Street,UNION CITY,NJ
Emil A. Cavallini Middle School,392 W  SADDLE RIVER RD,UPPER SADDLE RIVER,NJ
Emily C. Reynolds Middle School,2145 YARDVILLE HAMILTON SQ,HAMILTON,NJ
Emma C Attales,800 IRELAN AVENUE,ABSECON,NJ
EMOTIONALLY DISTURBED,540 Farview Avenue,Paramus,NJ
Erial Elementary School,20 ESSEX AVENUE,SICKLERVILLE,NJ
Eric S. Smith Middle School,2 MONROE STREET,RAMSEY,NJ
ESC Academy,37 Hoffmans Crossing Road,Califon,NJ
Essex Campus Academy,369 PASSAIC AVENUE,FAIRFIELD,NJ
"Essex County Donald M. Payne, Sr. School of Technology",498-544 West Market St,NEWARK,NJ
Essex County Newark Tech,91 WEST MARKET STREET,NEWARK,NJ
Essex County West Caldwell Tech,620 PASSAIC AVE,WEST CALDWELL,NJ
Essex Fells Elementary School,102 HAWTHORNE RD,ESSEX FELLS,NJ
Essex High School,520 Pompton Avenue,Cedar Grove,NJ
Essex Junior Academy,520 Pompton Avenue,Cedar Grove,NJ
Estell Manor Elementary School,128 CAPE MAY AVENUE,ESTELL MANOR,NJ
Ethel Hoppock Middle School,280 ASBURY  WEST PORTAL RD,ASBURY,NJ
Ethel M Burke Elementary School,112 SOUTH BLACK HORSE PIKE,BELLMAWR,NJ
Ethel McKnight Elementary School,58 TWIN RIVERS DR   SOUTH,EAST WINDSOR,NJ
Euclid Elementary School,1 BURTON AVENUE,HASBROUCK HEIGHTS,NJ
Eugene A. Tighe Middle School,7804 AMHERST AVENUE,MARGATE,NJ
Eugenio Maria de Hostos Center for Early Childhood Education,2200 KENNEDY BLVD,UNION CITY,NJ
Evergreen Avenue Elementary School,160 North Evergreen Avenue,Woodbury,NJ
Ewing High School,900 PARKWAY AVE,EWING,NJ
Explore 2000 Middle School,180-9th St,JERSEY CITY,NJ
Ezra L. Nolan School,88 GATES AVE,JERSEY CITY,NJ
F. W. Holbein Middle School,333 LEVIS DRIVE,MOUNT HOLLY,NJ
Fair Lawn High School,14  00 BERDAN AVENUE,FAIR LAWN,NJ
Fairfield Township School,375 GOULDTOWN  WOODRUFF ROAD,BRIDGETON,NJ
Fairmount,105 GRAND AVENUE,HACKENSACK,NJ
Fairview Elementary School,376 Berkeley Avenue,Bloomfield,NJ
Fanny Meyer Hillers,56 LONGVIEW AVENUE,HACKENSACK,NJ
Fernwood Avenue Middle School,4034 FERNWOOD AVENUE,EGG HARBOR TOWNSHIP,NJ
Fieldstone Middle School,47 Spring Valley Road,Montvale,NJ
First Avenue School,214 FIRST AVE,NEWARK,NJ
Fleetwood Elementary School,231 FLEETWOOD AVE,MOUNT LAUREL,NJ
Florence Avenue Elementary School,1324      SPRINGFIELD AVENUE,IRVINGTON,NJ
Florence L. Walther School,56 CHESTNUT STREET,LUMBERTON,NJ
Florence Riverfront School,500 Front Street,FLORENCE,NJ
Florence Township Memorial High School,1050 CEDAR LANE,BURLINGTON,NJ
Folsom Elementary School,1357 Mays Landing Road,Folsom,NJ
Forest Avenue School,287 FOREST AVE,GLEN RIDGE,NJ
Forest Avenue School,118 FOREST AVE,VERONA,NJ
Forest Hill School,1625 Wildwood Avenue,CAMDEN,NJ
Forest Street Elementary School,651 FOREST ST,ORANGE,NJ
Fort Dix Elementary School,1199 FORT DIX  JULIUSTOWN ROAD,FORT DIX,NJ
Fort Lee High School,3000 LEMOINE AVE,FORT LEE,NJ
Fountain Woods Elementary School,601 FOUNTAIN AVENUE,BURLINGTON,NJ
Fourteenth Avenue School,186  14TH AVE,NEWARK,NJ
Frances DeMasi Elementary School,199 EVESBORO  MEDFORD RD,MARLTON,NJ
Frances DeMasi Middle School,199 EVESBORO  MEDFORD RD,MARLTON,NJ
Francis A. Desmares Elementary School,16 OLD CLINTON ROAD,FLEMINGTON,NJ
