Account Name,Industry,Account Source,School Name,School District,County,Account Status,Street Address,,City,Country,Created,Created By,Details
Loudenslager Elementary School - Paulsboro School District,Education,New Jersey Public Records - School Data,Loudenslager Elementary School,Paulsboro School District - Gloucester County,Gloucester,None,100 Baird Ave,,Paulsboro,United States,1/25/19 23:56,Brandon Lipman,
Louise A Spencer / Miller Street School - Newark Public School District,Education,New Jersey Public Records - School Data,Louise A Spencer / Miller Street School,Newark Public School District - Essex County,Essex,None,66 Muhammad Ali Avenue,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Lower Cape May Regional High School - Lower Cape May Regional School District,Education,New Jersey Public Records - School Data,Lower Cape May Regional High School,Lower Cape May Regional School District - Cape May County,Cape May,None,687 Rt 9,,Cape May,United States,1/25/19 23:55,Brandon Lipman,
Luis Munoz-Rivera Ms - Trenton Public School District,Education,New Jersey Public Records - School Data,Luis Munoz-Rivera Ms,Trenton Public School District - Mercer County,Mercer,None,400 N Montgomery Street,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Luis Muòos Marin Elementary School - Newark Public School District,Education,New Jersey Public Records - School Data,Luis Muòos Marin Elementary School,Newark Public School District - Essex County,Essex,None,663 Broadway,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Lumberton Campus - Burlington County Special Services School District,Education,New Jersey Public Records - School Data,Lumberton Campus,Burlington County Special Services School District - Burlington County,Burlington,None,71 Ark Road Lumberton Campus,,Lumberton,United States,1/25/19 23:54,Brandon Lipman,
Lumberton Middle School - Lumberton Township Board Of Education,Education,New Jersey Public Records - School Data,Lumberton Middle School,Lumberton Township Board Of Education - Burlington County,Burlington,None,30 Dimsdale Drive,,Lumberton,United States,1/25/19 23:54,Brandon Lipman,
Luther Lee Emerson School - Demarest School District,Education,New Jersey Public Records - School Data,Luther Lee Emerson School,Demarest School District - Bergen County,Bergen,None,15 Columbus Road,,Demarest,United States,1/25/19 23:54,Brandon Lipman,
Lyncrest Elementary School - Fair Lawn Public School District,Education,New Jersey Public Records - School Data,Lyncrest Elementary School,Fair Lawn Public School District - Bergen County,Bergen,None,9-04 Morlot Ave,,Fair Lawn,United States,1/25/19 23:54,Brandon Lipman,
Lyndhurst High School - Lyndhurst School District,Education,New Jersey Public Records - School Data,Lyndhurst High School,Lyndhurst School District - Bergen County,Bergen,None,400 Weart Avenue,,Lyndhurst,United States,1/25/19 23:54,Brandon Lipman,
Mac Farland Intermediate - Bordentown Regional School District,Education,New Jersey Public Records - School Data,Mac Farland Intermediate,Bordentown Regional School District - Burlington County,Burlington,None,87 Crosswicks St,,Bordentown,United States,1/25/19 23:54,Brandon Lipman,
Madison At Chancellor South - Irvington Public School District,Education,New Jersey Public Records - School Data,Madison At Chancellor South,Irvington Public School District - Essex County,Essex,None,36 Mt. Vernon Avenue,,Irvington,United States,1/25/19 23:55,Brandon Lipman,
Magnolia - Magnolia School District,Education,New Jersey Public Records - School Data,Magnolia,Magnolia School District - Camden County,Camden,None,420 North Warwick Rd,,Magnolia,United States,1/25/19 23:55,Brandon Lipman,
Mahatma K. Gandhi School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Mahatma K. Gandhi School,Jersey City Public Schools - Hudson County,Hudson,None,143 Romaine Ave,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Mahwah High School - Mahwah Township Public School District,Education,New Jersey Public Records - School Data,Mahwah High School,Mahwah Township Public School District - Bergen County,Bergen,None,50 Ridge Road,,Mahwah,United States,1/25/19 23:54,Brandon Lipman,
Mainland Regional High School - Mainland Regional High School,Education,New Jersey Public Records - School Data,Mainland Regional High School,Mainland Regional High School - Atlantic County,Atlantic,None,1301 Oak Avenue,,Linwood,United States,1/25/19 23:54,Brandon Lipman,
Main Road School - Township Of Franklin School District,Education,New Jersey Public Records - School Data,Main Road School,Township Of Franklin School District - Gloucester County,Gloucester,None,1452 Main Rd,,Newfield,United States,1/25/19 23:56,Brandon Lipman,
Malcolm S Mackay School - Tenafly Public School District,Education,New Jersey Public Records - School Data,Malcolm S Mackay School,Tenafly Public School District - Bergen County,Bergen,None,111 Jefferson Avenue,,Tenafly,United States,1/25/19 23:54,Brandon Lipman,
Malcolm X Shabazz High School - Newark Public School District,Education,New Jersey Public Records - School Data,Malcolm X Shabazz High School,Newark Public School District - Essex County,Essex,None,80 Johnson Ave,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Manito Elementary School - Oakland Public School District,Education,New Jersey Public Records - School Data,Manito Elementary School,Oakland Public School District - Bergen County,Bergen,None,111 Manito Ave,,Oakland,United States,1/25/19 23:54,Brandon Lipman,
Mansfield Township Elementary School - Mansfield Township School District,Education,New Jersey Public Records - School Data,Mansfield Township Elementary School,Mansfield Township School District - Burlington County,Burlington,None,200 Mansfield Road East,,Columbus,United States,1/25/19 23:54,Brandon Lipman,
Mansion Avenue School - Audubon Public School Disrict,Education,New Jersey Public Records - School Data,Mansion Avenue School,Audubon Public School Disrict - Camden County,Camden,None,300 Mansion Avenue,,Audubon,United States,1/25/19 23:55,Brandon Lipman,
Maple Shade High School - Maple Shade School District,Education,New Jersey Public Records - School Data,Maple Shade High School,Maple Shade School District - Burlington County,Burlington,None,180 Frederick Ave,,Maple Shade,United States,1/25/19 23:54,Brandon Lipman,
Maplewood Middle School - South Orange-Maplewood School District,Education,New Jersey Public Records - School Data,Maplewood Middle School,South Orange-Maplewood School District - Essex County,Essex,None,7 Burnett St,,Maplewood,United States,1/25/19 23:56,Brandon Lipman,
Marcus Newcomb Middle School - Pemberton Township School District,Education,New Jersey Public Records - School Data,Marcus Newcomb Middle School,Pemberton Township School District - Burlington County,Burlington,None,101 Fort Dix Rd,,Pemberton,United States,1/25/19 23:55,Brandon Lipman,
Margaret C Clifford School - Swedesboro-Woolwich School District,Education,New Jersey Public Records - School Data,Margaret C Clifford School,Swedesboro-Woolwich School District - Gloucester County,Gloucester,None,601 Auburn Avenue,,Swedesboro,United States,1/25/19 23:56,Brandon Lipman,
Margaret Mace Elementary School - North Wildwood School District,Education,New Jersey Public Records - School Data,Margaret Mace Elementary School,North Wildwood School District - Cape May County,Cape May,None,1201 Atlantic Avenue,,North Wildwood,United States,1/25/19 23:55,Brandon Lipman,
Marie Durand Elementary School - Vineland Public School District,Education,New Jersey Public Records - School Data,Marie Durand Elementary School,Vineland Public School District - Cumberland County,Cumberland,None,371 W Forest Grove Rd,,Vineland,United States,1/25/19 23:55,Brandon Lipman,
Marie H Katzenbach Elementary/ Middle School For The Deaf - Marie H. Katzenbach School For The Deaf,Education,New Jersey Public Records - School Data,Marie H Katzenbach Elementary/ Middle School For The Deaf,Marie H. Katzenbach School For The Deaf - Mercer County,Mercer,None,320 Sullivan Way,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Marie H Katzenbach High School - Marie H. Katzenbach School For The Deaf,Education,New Jersey Public Records - School Data,Marie H Katzenbach High School,Marie H. Katzenbach School For The Deaf - Mercer County,Mercer,None,320 Sullivan Way,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Mark Newbie Elementary School - Collingswood Public School District,Education,New Jersey Public Records - School Data,Mark Newbie Elementary School,Collingswood Public School District - Camden County,Camden,None,2 East Browning Rd,,Collingswood,United States,1/25/19 23:55,Brandon Lipman,
Marlton Elementary - Evesham Township School District,Education,New Jersey Public Records - School Data,Marlton Elementary,Evesham Township School District - Burlington County,Burlington,None,190 Tomlinson Mill Road,,Marlton,United States,1/25/19 23:54,Brandon Lipman,
Marlton Middle - Evesham Township School District,Education,New Jersey Public Records - School Data,Marlton Middle,Evesham Township School District - Burlington County,Burlington,None,150 Tomlinson Mill Road,,Marlton,United States,1/25/19 23:54,Brandon Lipman,
Marshall Elementary School - South Orange-Maplewood School District,Education,New Jersey Public Records - School Data,Marshall Elementary School,South Orange-Maplewood School District - Essex County,Essex,None,262 Grove Rd,,S Orange,United States,1/25/19 23:56,Brandon Lipman,
Martin Center For The Arts - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Martin Center For The Arts,Jersey City Public Schools - Hudson County,Hudson,None,59 Wilkinson Ave,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Martin Luther King Jr. Elementary School - Trenton Public School District,Education,New Jersey Public Records - School Data,Martin Luther King Jr. Elementary School,Trenton Public School District - Mercer County,Mercer,None,401-411 Brunswick Avenue,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
"Martin Luther King, Jr. School - Jersey City Public Schools",Education,New Jersey Public Records - School Data,"Martin Luther King, Jr. School",Jersey City Public Schools - Hudson County,Hudson,None,886 Bergen Ave,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Mary A. Hubbard Elementary School - Ramsey School District,Education,New Jersey Public Records - School Data,Mary A. Hubbard Elementary School,Ramsey School District - Bergen County,Bergen,None,10 Hubbard Lane,,Ramsey,United States,1/25/19 23:54,Brandon Lipman,
Mary Bray Elementary School - Mt. Ephraim School District,Education,New Jersey Public Records - School Data,Mary Bray Elementary School,Mt. Ephraim School District - Camden County,Camden,None,225 West Kings Highway,,Mount Ephraim,United States,1/25/19 23:55,Brandon Lipman,
Mary E. Roberts Elementary School - Moorestown Township Public School District,Education,New Jersey Public Records - School Data,Mary E. Roberts Elementary School,Moorestown Township Public School District - Burlington County,Burlington,None,290 Crescent Avenue,,Moorestown,United States,1/25/19 23:54,Brandon Lipman,
Mary E. Volz Elementary School - Runnemede Public School District,Education,New Jersey Public Records - School Data,Mary E. Volz Elementary School,Runnemede Public School District - Camden County,Camden,None,509 West Third Avenue,,Runnemede,United States,1/25/19 23:55,Brandon Lipman,
Mary F. Janvier School - Township Of Franklin School District,Education,New Jersey Public Records - School Data,Mary F. Janvier School,Township Of Franklin School District - Gloucester County,Gloucester,None,1532 Pennsylvania Ave,,Franklinville,United States,1/25/19 23:56,Brandon Lipman,
Mary J Donohoe Community School - Bayonne School District,Education,New Jersey Public Records - School Data,Mary J Donohoe Community School,Bayonne School District - Hudson County,Hudson,None,38 Dodge Street,,Bayonne,United States,1/25/19 23:56,Brandon Lipman,
"Mastery Schools Of Camden, Inc. - Mastery Schools Of Camden, Inc.",Education,New Jersey Public Records - School Data,"Mastery Schools Of Camden, Inc.","Mastery Schools Of Camden, Inc. - Camden County",Camden,None,1001 North 17Th Street,,Camden,United States,1/25/19 23:55,Brandon Lipman,
Maud Abrams School - Lower Township Elementary School District,Education,New Jersey Public Records - School Data,Maud Abrams School,Lower Township Elementary School District - Cape May County,Cape May,None,714 Townbank Rd,,Cape May,United States,1/25/19 23:55,Brandon Lipman,
Maude M. Wilkins Elementary School - Maple Shade School District,Education,New Jersey Public Records - School Data,Maude M. Wilkins Elementary School,Maple Shade School District - Burlington County,Burlington,None,34 West Mill Road,,Maple Shade,United States,1/25/19 23:54,Brandon Lipman,
Maurice Hawk Elementary School - West Windsor-Plainsboro Regional School District,Education,New Jersey Public Records - School Data,Maurice Hawk Elementary School,West Windsor-Plainsboro Regional School District - Mercer County,Mercer,None,303 305 Clarksville Road,,West Windsor,United States,1/25/19 23:56,Brandon Lipman,
Maurice River Township School - Maurice River Township School District,Education,New Jersey Public Records - School Data,Maurice River Township School,Maurice River Township School District - Cumberland County,Cumberland,None,3593 Rt 47,,Port Elizabeth,United States,1/25/19 23:55,Brandon Lipman,
Maywood Avenue School - Maywood School District,Education,New Jersey Public Records - School Data,Maywood Avenue School,Maywood School District - Bergen County,Bergen,None,452 Maywood Ave,,Maywood,United States,1/25/19 23:54,Brandon Lipman,
Maywood Campus - South Bergen Jointure Commission School District,Education,New Jersey Public Records - School Data,Maywood Campus,South Bergen Jointure Commission School District - Bergen County,Bergen,None,404 Maywood Avenue,,Maywood,United States,1/25/19 23:54,Brandon Lipman,
Mcgalliard Elementary School - Hamilton Township Public School District,Education,New Jersey Public Records - School Data,Mcgalliard Elementary School,Hamilton Township Public School District - Mercer County,Mercer,None,1600 Arena Drive,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
Mckenzie School - East Rutherford School District,Education,New Jersey Public Records - School Data,Mckenzie School,East Rutherford School District - Bergen County,Bergen,None,125 Carlton Avenue,,East Rutherford,United States,1/25/19 23:54,Brandon Lipman,
Mckinley Elementary School - North Bergen School District,Education,New Jersey Public Records - School Data,Mckinley Elementary School,North Bergen School District - Hudson County,Hudson,None,3110 Liberty Ave,,North Bergen,United States,1/25/19 23:56,Brandon Lipman,
Mckinley - Newark Public School District,Education,New Jersey Public Records - School Data,Mckinley,Newark Public School District - Essex County,Essex,None,1 Colonnade Pl,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Mcvs Adult Evening School - Area Vocational Technical Schools Of Mercer County,Education,New Jersey Public Records - School Data,Mcvs Adult Evening School,Area Vocational Technical Schools Of Mercer County - Mercer County,Mercer,None,1085 Old Trenton Rd,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Mcvs Arthur R. Sypek Center - Area Vocational Technical Schools Of Mercer County,Education,New Jersey Public Records - School Data,Mcvs Arthur R. Sypek Center,Area Vocational Technical Schools Of Mercer County - Mercer County,Mercer,None,129 Bull Run Road,,Pennington,United States,1/25/19 23:56,Brandon Lipman,
Mcvs Assunpink Center - Area Vocational Technical Schools Of Mercer County,Education,New Jersey Public Records - School Data,Mcvs Assunpink Center,Area Vocational Technical Schools Of Mercer County - Mercer County,Mercer,None,1085 Old Trenton Road,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Mcvs Health Careers Center - Area Vocational Technical Schools Of Mercer County,Education,New Jersey Public Records - School Data,Mcvs Health Careers Center,Area Vocational Technical Schools Of Mercer County - Mercer County,Mercer,None,1070 Klockner Rd,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
Meadowbrook - Hillsdale School District,Education,New Jersey Public Records - School Data,Meadowbrook,Hillsdale School District - Bergen County,Bergen,None,50 Piermont Ave,,Hillsdale,United States,1/25/19 23:54,Brandon Lipman,
Medford Memorial Middle School - Medford Township School District,Education,New Jersey Public Records - School Data,Medford Memorial Middle School,Medford Township School District - Burlington County,Burlington,None,55 Mill Street,,Medford,United States,1/25/19 23:54,Brandon Lipman,
Melvin H. Kreps Middle School - East Windsor Regional School District,Education,New Jersey Public Records - School Data,Melvin H. Kreps Middle School,East Windsor Regional School District - Mercer County,Mercer,None,5 Kent Lane,,East Windsor,United States,1/25/19 23:56,Brandon Lipman,
Memorial Campus - Lyndhurst School District,Education,New Jersey Public Records - School Data,Memorial Campus,Lyndhurst School District - Bergen County,Bergen,None,319 New York Ave.,,Lyndhurst,United States,1/25/19 23:54,Brandon Lipman,
Memorial Elementary School - Little Ferry Public School District,Education,New Jersey Public Records - School Data,Memorial Elementary School,Little Ferry Public School District - Bergen County,Bergen,None,130 Liberty St,,Little Ferry,United States,1/25/19 23:55,Brandon Lipman,
Memorial Elementary School - Montvale Board Of Education School District,Education,New Jersey Public Records - School Data,Memorial Elementary School,Montvale Board Of Education School District - Bergen County,Bergen,None,53 Grand Avenue West,,Montvale,United States,1/25/19 23:55,Brandon Lipman,
Memorial Elementary School - Paramus Public School District,Education,New Jersey Public Records - School Data,Memorial Elementary School,Paramus Public School District - Bergen County,Bergen,None,East 203 Midland Avenue,,Paramus,United States,1/25/19 23:55,Brandon Lipman,
Memorial Elementary School - Pitman Boro School District,Education,New Jersey Public Records - School Data,Memorial Elementary School,Pitman Boro School District - Gloucester County,Gloucester,None,400 Hudson Avenue,,Pitman,United States,1/25/19 23:55,Brandon Lipman,
Memorial High School - Millville School District,Education,New Jersey Public Records - School Data,Memorial High School,Millville School District - Cumberland County,Cumberland,None,504 East Broad Street,,Millville,United States,1/25/19 23:55,Brandon Lipman,
Memorial High School - West New York Board Of Education,Education,New Jersey Public Records - School Data,Memorial High School,West New York Board Of Education - Hudson County,Hudson,None,5501 Park Ave,,West New York,United States,1/25/19 23:55,Brandon Lipman,
Memorial - Maywood School District,Education,New Jersey Public Records - School Data,Memorial,Maywood School District - Bergen County,Bergen,None,764 Grant Ave,,Maywood,United States,1/25/19 23:54,Brandon Lipman,
Memorial Middle School - Cedar Grove Township School District,Education,New Jersey Public Records - School Data,Memorial Middle School,Cedar Grove Township School District - Essex County,Essex,None,500 Ridge Road,,Cedar Grove,United States,1/25/19 23:55,Brandon Lipman,
Memorial Middle School - Elmwood Park School District,Education,New Jersey Public Records - School Data,Memorial Middle School,Elmwood Park School District - Bergen County,Bergen,None,375 River Drive,,Elmwood Park,United States,1/25/19 23:55,Brandon Lipman,
Memorial Middle School - Fair Lawn Public School District,Education,New Jersey Public Records - School Data,Memorial Middle School,Fair Lawn Public School District - Bergen County,Bergen,None,12 - 00 First Street,,Fair Lawn,United States,1/25/19 23:55,Brandon Lipman,
Memorial School - Emerson Public School District,Education,New Jersey Public Records - School Data,Memorial School,Emerson Public School District - Bergen County,Bergen,None,1 Haines Avenue,,Emerson,United States,1/25/19 23:55,Brandon Lipman,
Memorial School - South Hackensack School District,Education,New Jersey Public Records - School Data,Memorial School,South Hackensack School District - Bergen County,Bergen,None,Dyer Avenue Memorial School,,South Hackensack,United States,1/25/19 23:55,Brandon Lipman,
Memorial Senior High School - Elmwood Park School District,Education,New Jersey Public Records - School Data,Memorial Senior High School,Elmwood Park School District - Bergen County,Bergen,None,375 River Dr,,Elmwood Park,United States,1/25/19 23:54,Brandon Lipman,
Mercer County Technical School Culinary Arts Academy - Area Vocational Technical Schools Of Mercer County,Education,New Jersey Public Records - School Data,Mercer County Technical School Culinary Arts Academy,Area Vocational Technical Schools Of Mercer County - Mercer County,Mercer,None,129 Bull Run Road,,Pennington,United States,1/25/19 23:56,Brandon Lipman,
Mercer County Technical School Health Sciences Academy - Area Vocational Technical Schools Of Mercer County,Education,New Jersey Public Records - School Data,Mercer County Technical School Health Sciences Academy,Area Vocational Technical Schools Of Mercer County - Mercer County,Mercer,None,1085 Old Trenton Road,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Mercer County Technical School Stem Academy - Area Vocational Technical Schools Of Mercer County,Education,New Jersey Public Records - School Data,Mercer County Technical School Stem Academy,Area Vocational Technical Schools Of Mercer County - Mercer County,Mercer,None,229 Bull Run Road,,Pennington,United States,1/25/19 23:56,Brandon Lipman,
Mercer Elementary School - Mercer County Special Services School District,Education,New Jersey Public Records - School Data,Mercer Elementary School,Mercer County Special Services School District - Mercer County,Mercer,None,1020 Old Trenton Road,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
Mercer High School - Mercer County Special Services School District,Education,New Jersey Public Records - School Data,Mercer High School,Mercer County Special Services School District - Mercer County,Mercer,None,1030 Old Trenton Road,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
Mercerville Elementary School - Hamilton Township Public School District,Education,New Jersey Public Records - School Data,Mercerville Elementary School,Hamilton Township Public School District - Mercer County,Mercer,None,60 Regina Avenue,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
Merchantville Elementary School - Merchantville School District,Education,New Jersey Public Records - School Data,Merchantville Elementary School,Merchantville School District - Camden County,Camden,None,130 S Centre St,,Merchantville,United States,1/25/19 23:55,Brandon Lipman,
Merritt Memorial - Cresskill Public School District,Education,New Jersey Public Records - School Data,Merritt Memorial,Cresskill Public School District - Bergen County,Bergen,None,1 Dogwood Lane,,Cresskill,United States,1/25/19 23:54,Brandon Lipman,
Middle School # 4 - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Middle School # 4,Jersey City Public Schools - Hudson County,Hudson,None,107 Bright Street,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Middle Township Elementary #1 - Middle Township Public School District,Education,New Jersey Public Records - School Data,Middle Township Elementary #1,Middle Township Public School District - Cape May County,Cape May,None,215 Eldredge Road,,Cape May Court House,United States,1/25/19 23:55,Brandon Lipman,
Middle Township Elementary #2 - Middle Township Public School District,Education,New Jersey Public Records - School Data,Middle Township Elementary #2,Middle Township Public School District - Cape May County,Cape May,None,101 West Pacific Ave,,Cape May Court House,United States,1/25/19 23:55,Brandon Lipman,
Middle Township Elementary #4 - Middle Township Public School District,Education,New Jersey Public Records - School Data,Middle Township Elementary #4,Middle Township Public School District - Cape May County,Cape May,None,300 E Pacific Ave,,Cape May Court House,United States,1/25/19 23:55,Brandon Lipman,
Middle Township High School - Middle Township Public School District,Education,New Jersey Public Records - School Data,Middle Township High School,Middle Township Public School District - Cape May County,Cape May,None,300 East Atlantic Avenue,,Cape May Court House,United States,1/25/19 23:55,Brandon Lipman,
Midland Elementary School - Paramus Public School District,Education,New Jersey Public Records - School Data,Midland Elementary School,Paramus Public School District - Bergen County,Bergen,None,241 West Midland Avenue,,Paramus,United States,1/25/19 23:54,Brandon Lipman,
Midland Park Jr./Sr. High School - Midland Park School District,Education,New Jersey Public Records - School Data,Midland Park Jr./Sr. High School,Midland Park School District - Bergen County,Bergen,None,250 Prospect St,,Midland Park,United States,1/25/19 23:54,Brandon Lipman,
Midland School #1 - Rochelle Park School District,Education,New Jersey Public Records - School Data,Midland School #1,Rochelle Park School District - Bergen County,Bergen,None,300 Rochelle Ave,,Rochelle Park,United States,1/25/19 23:54,Brandon Lipman,
Midtown Community School #8 - Bayonne School District,Education,New Jersey Public Records - School Data,Midtown Community School #8,Bayonne School District - Hudson County,Hudson,None,550 Avenue A,,Bayonne,United States,1/25/19 23:56,Brandon Lipman,
Mildred Barry Garvin Elementary - East Orange School District,Education,New Jersey Public Records - School Data,Mildred Barry Garvin Elementary,East Orange School District - Essex County,Essex,None,1 Grove Place,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
Mildred Magowan Elementary School - Edgewater Park Township School District,Education,New Jersey Public Records - School Data,Mildred Magowan Elementary School,Edgewater Park Township School District - Burlington County,Burlington,None,405 Cherrix Avenue,,Edgewater Park,United States,1/25/19 23:54,Brandon Lipman,
Milford School - Milford Borough School District,Education,New Jersey Public Records - School Data,Milford School,Milford Borough School District - Hunterdon County,Hunterdon,None,7 Hillside Avenue,,Milford,United States,1/25/19 23:56,Brandon Lipman,
Millbridge Elementary School - Delran Township School District,Education,New Jersey Public Records - School Data,Millbridge Elementary School,Delran Township School District - Burlington County,Burlington,None,282 Conrow Road,,Delran,United States,1/25/19 23:54,Brandon Lipman,
Millburn High School - Millburn Township School District,Education,New Jersey Public Records - School Data,Millburn High School,Millburn Township School District - Essex County,Essex,None,462 Millburn Ave,,Millburn,United States,1/25/19 23:55,Brandon Lipman,
Millburn Middle School - Millburn Township School District,Education,New Jersey Public Records - School Data,Millburn Middle School,Millburn Township School District - Essex County,Essex,None,25 Old Short Hills Rd,,Millburn,United States,1/25/19 23:55,Brandon Lipman,
Millstone River School - West Windsor-Plainsboro Regional School District,Education,New Jersey Public Records - School Data,Millstone River School,West Windsor-Plainsboro Regional School District - Mercer County,Mercer,None,75 Grovers Mill Road,,Plainsboro,United States,1/25/19 23:56,Brandon Lipman,
Millville Senior High School - Millville School District,Education,New Jersey Public Records - School Data,Millville Senior High School,Millville School District - Cumberland County,Cumberland,None,200 Wade Blvd,,Millville,United States,1/25/19 23:55,Brandon Lipman,
Milton H. Allen Elementary School - Medford Township School District,Education,New Jersey Public Records - School Data,Milton H. Allen Elementary School,Medford Township School District - Burlington County,Burlington,None,24 Allen Avenue,,Medford,United States,1/25/19 23:54,Brandon Lipman,
M. Joan Pearson Elementary School - Delanco Township School District,Education,New Jersey Public Records - School Data,M. Joan Pearson Elementary School,Delanco Township School District - Burlington County,Burlington,None,1301 Burlington Ave,,Delanco,United States,1/25/19 23:54,Brandon Lipman,
Monmouth Court Campus - Livingston Board Of Education School District,Education,New Jersey Public Records - School Data,Monmouth Court Campus,Livingston Board Of Education School District - Essex County,Essex,None,25 Monmouth Court,,Livingston,United States,1/25/19 23:55,Brandon Lipman,
Monongahela Middle School - Deptford Township Public School District,Education,New Jersey Public Records - School Data,Monongahela Middle School,Deptford Township Public School District - Gloucester County,Gloucester,None,890 Bankbridge Rd,,Sewell,United States,1/25/19 23:56,Brandon Lipman,
Montclair High School - Montclair Public School District,Education,New Jersey Public Records - School Data,Montclair High School,Montclair Public School District - Essex County,Essex,None,100 Chestnut St,,Montclair,United States,1/25/19 23:55,Brandon Lipman,
Montrose Early Childhood Center - South Orange-Maplewood School District,Education,New Jersey Public Records - School Data,Montrose Early Childhood Center,South Orange-Maplewood School District - Essex County,Essex,None,358 Clark Street,,South Orange,United States,1/25/19 23:56,Brandon Lipman,
Moonachie Campus - South Bergen Jointure Commission School District,Education,New Jersey Public Records - School Data,Moonachie Campus,South Bergen Jointure Commission School District - Bergen County,Bergen,None,Robert L. Craig School 20 West Park Street,,Moonachie,United States,1/25/19 23:54,Brandon Lipman,
Moorestown High School - Moorestown Township Public School District,Education,New Jersey Public Records - School Data,Moorestown High School,Moorestown Township Public School District - Burlington County,Burlington,None,350 Bridgeboro Road,,Moorestown,United States,1/25/19 23:54,Brandon Lipman,
Moorestown Upper Elementary School - Moorestown Township Public School District,Education,New Jersey Public Records - School Data,Moorestown Upper Elementary School,Moorestown Township Public School District - Burlington County,Burlington,None,325 Borton Landing Road,,Moorestown,United States,1/25/19 23:54,Brandon Lipman,
Morgan Elementary School - Hamilton Township Public School District,Education,New Jersey Public Records - School Data,Morgan Elementary School,Hamilton Township Public School District - Mercer County,Mercer,None,38 Stamford Road,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
Morris Goodwin School - Greenwich Township School District,Education,New Jersey Public Records - School Data,Morris Goodwin School,Greenwich Township School District - Cumberland County,Cumberland,None,839 Ye Greate Street,,Greenwich,United States,1/25/19 23:55,Brandon Lipman,
Mott Elementary School - Trenton Public School District,Education,New Jersey Public Records - School Data,Mott Elementary School,Trenton Public School District - Mercer County,Mercer,None,45 Stokely Avenue,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Mount Pleasant Elementary School - Livingston Board Of Education School District,Education,New Jersey Public Records - School Data,Mount Pleasant Elementary School,Livingston Board Of Education School District - Essex County,Essex,None,11 Broadlawn Dr,,Livingston,United States,1/25/19 23:55,Brandon Lipman,
Mount Pleasant Elementary School - Millville School District,Education,New Jersey Public Records - School Data,Mount Pleasant Elementary School,Millville School District - Cumberland County,Cumberland,None,100 Carmel Rd,,Millville,United States,1/25/19 23:55,Brandon Lipman,
Mount Pleasant Elementary School - West Orange Public Schools,Education,New Jersey Public Records - School Data,Mount Pleasant Elementary School,West Orange Public Schools - Essex County,Essex,None,9 Manger Road,,West Orange,United States,1/25/19 23:55,Brandon Lipman,
Mount Pleasant Middle School - Livingston Board Of Education School District,Education,New Jersey Public Records - School Data,Mount Pleasant Middle School,Livingston Board Of Education School District - Essex County,Essex,None,11 Broadlawn Dr,,Livingston,United States,1/25/19 23:55,Brandon Lipman,
Mt. Vernon Avenue Elementary School - Irvington Public School District,Education,New Jersey Public Records - School Data,Mt. Vernon Avenue Elementary School,Irvington Public School District - Essex County,Essex,None,54 Mt Vernon Avenue,,Irvington,United States,1/25/19 23:55,Brandon Lipman,
Mt Vernon Place School - Newark Public School District,Education,New Jersey Public Records - School Data,Mt Vernon Place School,Newark Public School District - Essex County,Essex,None,142 Mount Vernon Pl,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Mullica Township Middle School - Mullica Township School District,Education,New Jersey Public Records - School Data,Mullica Township Middle School,Mullica Township School District - Atlantic County,Atlantic,None,500 Elwood Road P O Box 318,,Elwood,United States,1/25/19 23:54,Brandon Lipman,
Mullica Township Primary School - Mullica Township School District,Education,New Jersey Public Records - School Data,Mullica Township Primary School,Mullica Township School District - Atlantic County,Atlantic,None,500 Elwood Road P O Box 318,,Elwood,United States,1/25/19 23:54,Brandon Lipman,
Multiply Handicaped - Bergen County Special Services School District,Education,New Jersey Public Records - School Data,Multiply Handicaped,Bergen County Special Services School District - Bergen County,Bergen,None,540 Farview Avenue,,Paramus,United States,1/25/19 23:54,Brandon Lipman,
