Account Name,Industry,Account Source,School Name,School District,County,Account Status,Street Address,,City,Country,Created,Created By,Details
Belleville Ps9 - Belleville Public Schools,Education,New Jersey Public Records - School Data,Belleville Ps9,Belleville Public Schools - Essex County,Essex,None,301 Ralph St,,Belleville,United States,1/25/19 23:55,Brandon Lipman,
Bellmawr Park Elementary School - Bellmawr Public School District,Education,New Jersey Public Records - School Data,Bellmawr Park Elementary School,Bellmawr Public School District - Camden County,Camden,None,29 Peach Road,,Bellmawr,United States,1/25/19 23:55,Brandon Lipman,
Bell Oaks Upper Elementary School - Bellmawr Public School District,Education,New Jersey Public Records - School Data,Bell Oaks Upper Elementary School,Bellmawr Public School District - Camden County,Camden,None,256 Anderson Avenue,,Bellmawr,United States,1/25/19 23:55,Brandon Lipman,
Bells Elementary School - Washington Township School District,Education,New Jersey Public Records - School Data,Bells Elementary School,Washington Township School District - Gloucester County,Gloucester,None,227 Greentree Rd,,Turnersville,United States,1/25/19 23:56,Brandon Lipman,
Belmont Runyon Elementary School - Newark Public School District,Education,New Jersey Public Records - School Data,Belmont Runyon Elementary School,Newark Public School District - Essex County,Essex,None,1 Belmont Runyon Way,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Ben Franklin Elementary - Lawrence Township Public School District,Education,New Jersey Public Records - School Data,Ben Franklin Elementary,Lawrence Township Public School District - Mercer County,Mercer,None,2939 Princeton Pike,,Lawrenceville,United States,1/25/19 23:56,Brandon Lipman,
Benjamin Banneker Academy - East Orange School District,Education,New Jersey Public Records - School Data,Benjamin Banneker Academy,East Orange School District - Essex County,Essex,None,500 South Clinton Street,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
Benjamin Franklin Elementary School - Newark Public School District,Education,New Jersey Public Records - School Data,Benjamin Franklin Elementary School,Newark Public School District - Essex County,Essex,None,42 Park Ave,,Newark,United States,1/25/19 23:54,Brandon Lipman,
Benjamin Franklin Elementary School - Pennsauken Township Board Of Education School District,Education,New Jersey Public Records - School Data,Benjamin Franklin Elementary School,Pennsauken Township Board Of Education School District - Camden County,Camden,None,7201 Irving Avenue,,Pennsauken,United States,1/25/19 23:54,Brandon Lipman,
Benjamin Franklin Middle School - Ridgewood Public School District,Education,New Jersey Public Records - School Data,Benjamin Franklin Middle School,Ridgewood Public School District - Bergen County,Bergen,None,335 North Van Dien Ave,,Ridgewood,United States,1/25/19 23:54,Brandon Lipman,
Benjamin Franklin Middle School - Teaneck School District,Education,New Jersey Public Records - School Data,Benjamin Franklin Middle School,Teaneck School District - Bergen County,Bergen,None,1315 Taft Road,,Teaneck,United States,1/25/19 23:54,Brandon Lipman,
Bergen Boulevard School - Ridgefield School District,Education,New Jersey Public Records - School Data,Bergen Boulevard School,Ridgefield School District - Bergen County,Bergen,None,635 Bergen Blvd,,Ridgefield,United States,1/25/19 23:54,Brandon Lipman,
Bergen County Academies - Bergen County Vocational Technical School District,Education,New Jersey Public Records - School Data,Bergen County Academies,Bergen County Vocational Technical School District - Bergen County,Bergen,None,200 Hackensack Avenue,,Hackensack,United States,1/25/19 23:54,Brandon Lipman,
Bergen County Technical High School - Paramus - Bergen County Vocational Technical School District,Education,New Jersey Public Records - School Data,Bergen County Technical High School - Paramus,Bergen County Vocational Technical School District - Bergen County,Bergen,None,E.285 Pascack Road,,Paramus,United States,1/25/19 23:54,Brandon Lipman,
Bergen County Technical High School - Teterboro - Bergen County Vocational Technical School District,Education,New Jersey Public Records - School Data,Bergen County Technical High School - Teterboro,Bergen County Vocational Technical School District - Bergen County,Bergen,None,504 Route 46 West,,Teterboro,United States,1/25/19 23:54,Brandon Lipman,
Bergen County Technical Schools Adult & Continuing Education - Bergen County Vocational Technical School District,Education,New Jersey Public Records - School Data,Bergen County Technical Schools Adult & Continuing Education,Bergen County Vocational Technical School District - Bergen County,Bergen,None,200A Hackensack Avenue Adult Education Bldg.,,Hackensack,United States,1/25/19 23:54,Brandon Lipman,
Bergenfield High School - Bergenfield Borough School District,Education,New Jersey Public Records - School Data,Bergenfield High School,Bergenfield Borough School District - Bergen County,Bergen,None,80 S Prospect Ave,,Bergenfield,United States,1/25/19 23:54,Brandon Lipman,
Berkeley Elementary School - Bloomfield Township School District,Education,New Jersey Public Records - School Data,Berkeley Elementary School,Bloomfield Township School District - Essex County,Essex,None,351 Bloomfield Ave,,Bloomfield,United States,1/25/19 23:55,Brandon Lipman,
Berkeley Elementary - Westwood Regional School District,Education,New Jersey Public Records - School Data,Berkeley Elementary,Westwood Regional School District - Bergen County,Bergen,None,47 Berkeley Ave,,Westwood,United States,1/25/19 23:54,Brandon Lipman,
Berkeley Terrace Elementary School - Irvington Public School District,Education,New Jersey Public Records - School Data,Berkeley Terrace Elementary School,Irvington Public School District - Essex County,Essex,None,787 Grove Street,,Irvington,United States,1/25/19 23:55,Brandon Lipman,
Berkley Street School - New Milford Public School District,Education,New Jersey Public Records - School Data,Berkley Street School,New Milford Public School District - Bergen County,Bergen,None,812 Berkley Street,,New Milford,United States,1/25/19 23:54,Brandon Lipman,
Berlin Community School - Berlin Borough School District,Education,New Jersey Public Records - School Data,Berlin Community School,Berlin Borough School District - Camden County,Camden,None,215 S Franklin Ave,,Berlin,United States,1/25/19 23:55,Brandon Lipman,
Bertrand F. Gibbs Elementary School - New Milford Public School District,Education,New Jersey Public Records - School Data,Bertrand F. Gibbs Elementary School,New Milford Public School District - Bergen County,Bergen,None,195 Sutton Place,,New Milford,United States,1/25/19 23:54,Brandon Lipman,
Betsy Ross Elementary - Mahwah Township Public School District,Education,New Jersey Public Records - School Data,Betsy Ross Elementary,Mahwah Township Public School District - Bergen County,Bergen,None,20 Malcolm Rd,,Mahwah,United States,1/25/19 23:54,Brandon Lipman,
Betty Maddalena Early Learning Center - West Orange Public Schools,Education,New Jersey Public Records - School Data,Betty Maddalena Early Learning Center,West Orange Public Schools - Essex County,Essex,None,747 Nothfield Avenue,,West Orange,United States,1/25/19 23:56,Brandon Lipman,
Beverly City School - Beverly City School,Education,New Jersey Public Records - School Data,Beverly City School,Beverly City School - Burlington County,Burlington,None,601 Bentley Ave,,Beverly,United States,1/25/19 23:54,Brandon Lipman,
Billingsport Elementary School - Paulsboro School District,Education,New Jersey Public Records - School Data,Billingsport Elementary School,Paulsboro School District - Gloucester County,Gloucester,None,441 Nassau Ave,,Paulsboro,United States,1/25/19 23:56,Brandon Lipman,
Birches Elementary School - Washington Township School District,Education,New Jersey Public Records - School Data,Birches Elementary School,Washington Township School District - Gloucester County,Gloucester,None,416 Westminster Blvd,,Turnersville,United States,1/25/19 23:56,Brandon Lipman,
